		25ns master table: /dev/CMSSW_7_4_0/HLT/V212																																				
		HLT_DoubleMu8_Mass8_PFHT300_v2	SUSY	25ns, 50ns,	yes	CMSHLT-167	L1_Mu6_HTT150 OR L1_Mu8_HTT125 OR L1_HTT175	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		SUSY PAG, signal trigger for discovery analysis
		HLT_DoublePhoton85_v2	EXO	25ns, 50ns,	yes	CMSHLT-88	L1_SingleEG35 OR L1_SingleEG40 OR L1_SingleJet200	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		group: Egamma, EXO, rate: 3Hz at 1.4E34, type: signal, approval: https://indico.cern.ch/event/338306/contribution/21/material/slides/0.pdf, description: general purpose high mass diphoton trigger
		HLT_ECALHT800_v2	EXO	25ns, 50ns,	yes	CMSHLT-201 (only for 7e33)	L1_HTT175 OR L1_ETM70	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		group: exotica, rate: 2.6Hz at 1.4E34, 1+/-0.2Hz at 0.7E34 measured on 40bx25 and 20bx25 Fall13dr MC in 723 with MCRUN2_72_V3A GT, type: signal + backup , approval: https://indico.cern.ch/event/351559/contribution/1/9/material/slides/2.pdf, description: Catch all trigger for exotic EM rich events. Designed as both speculative signal (lots of soft electrons, photons) and insurance against L1/ HLT reco failures for TeV objects. It is the sum of ECAL Et of CaloTowers with EM Et> 1.5 GeV, , ,
		HLT_Ele105_CaloIdVT_GsfTrkIdT_v2	EXO,B2G	25ns, 50ns,	yes	CMSHLT-88, updated by CMSHLT-194	L1_SingleEG35 OR L1_SingleEG40 OR L1_SingleJet200	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		group: EXO, , high pt unisolated single lepton trigger, use case is W'->enu but generally used in EXO
		HLT_Ele16_Ele12_Ele8_CaloIdL_TrackIdL_v2	Higgs	25ns, 50ns,	yes	CMSHLT-147, mod CMSHLT-331	L1_TripleEG_14_10_8	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		group : HIG, type : signal, description : non-isolated triple electron path, designed for H->ZZ*->4e
		HLT_Ele22_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_v1	HIG, TAU	25ns, 50ns,	yes	CMSHLT-110, mod. CMSHLT-160, CMSHLT-232, CMSHLT-330	L1_IsoEG20er_TauJet20er_NotWdEta0	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		group: TAU, HIG, rate: 47Hz at 1.4e34, type: signal, description: Trigger with an Isolated Electron and Loose Iso PFTau, seeded by unp'ed L1IsoEGer_TauEr cross-seed.
		HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v2	Higgs,Top, SMP,B2G	25ns, 50ns,	yes	CMSHLT-147, mod CMSHLT-331	L1_DoubleEG_22_10	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		group : HIG, type : signal, description : double electron path with isolation and DZ cut, designed for H->ZZ*->4l and H->WW
		HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_v2	Higgs,Top, SMP	25ns, 50ns,	yes	CMSHLT-147, mod CMSHLT-331	L1_DoubleEG_22_10	1	1			10	5	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		group : HIG, type : control, description : similar to HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL, except for the lack of a DZ cut
		HLT_Ele27_eta2p1_WPLoose_Gsf_HT200_v1	HIG	25ns, 50ns,	yes	CMSHLT-161, mod. CMSHLT-336	L1_EG25er_HTT125	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		group: Egamma
		HLT_Ele27_WPLoose_Gsf_WHbbBoost_v1	HIG	25ns, 50ns,	yes	CMSHLT-343	L1_EG25er_HTT125 OR L1_SingleIsoEG30er OR L1_SingleEG40	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		
