master: 	/dev/CMSSW_7_4_0/50nsHLT/V215																																							  1 072.0	±		Hz	STEAM rates evaluated on the Spring'15 samples, corresponding to a luminoity of 5e33 cm⁻²s⁻¹ with the menu
menu:	/frozen/2015/50ns_5e33/v2.1/HLT/V5																																											/dev/CMSSW_7_4_0/50nsGRun/V116
								Old L1		L1 prescales								HLT prescales								Total prescales																		
A	DisplacedJet	HLT_HT750_DisplacedDijet80_Inclusive_v2	EXO	yes	CMSHLT-168	L1_HTT150 OR L1_HTT175 OR L1_HTT200		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   0.2	±	   0.0	Hz	group: EXO, rate: 2.1 Hz 1.4E34, type: Signal Backup, description: HT > 750 and 2 central Jets pt 80 with at most 2 prompt tracks
A	DisplacedJet	HLT_VBF_DisplacedJet40_DisplacedTrack_v2	EXO (long-lived)	yes	CMSHLT-196 (only for 7e33)	L1_TripleJet_92_76_64 OR L1_HTT175		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   28.4	±	   1.4	Hz	group: EXO, menu: 7e33, rate: 4 Hz, type: Signal, description: VBF + 1 jet with few prompt tracks and 2 displaced tracks with high IP significance
A	DisplacedJet	HLT_VBF_DisplacedJet40_Hadronic_v2	EXO (long-lived)	yes	CMSHLT-196 (only for 7e33)	L1_TripleJet_92_76_64 OR L1_HTT175		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   35.1	±	   1.5	Hz	group: EXO, menu: 7e33, rate: 4 Hz, type: Signal, description: VBF + 1 narrow jet with few prompt tracks and high hadronic energy fraction
A	DisplacedJet	HLT_VBF_DisplacedJet40_TightID_DisplacedTrack_v2	EXO (long-lived)	yes	CMSHLT-196 (only for 7e33)	L1_TripleJet_92_76_64 OR L1_HTT175		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   20.5	±	   1.0	Hz	group: EXO, menu: 7e33, rate: 3 Hz, type: Backup, description: VBF + 1 jet with few prompt tracks and 2 displaced tracks with high IP significance. The IP significance requirement is tight
A	DisplacedJet	HLT_VBF_DisplacedJet40_TightID_Hadronic_v2	EXO (long-lived)	yes	CMSHLT-196 (only for 7e33)	L1_TripleJet_92_76_64 OR L1_HTT175		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   17.6	±	   0.9	Hz	group: EXO, menu: 7e33, rate: 2 Hz, type: Backup, description: VBF + 1 narrow jet with few prompt tracks and high hadronic energy fraction. The hadronic fraction is higher realtive to the signal trigger
A	DisplacedJet	HLT_VBF_DisplacedJet40_VTightID_DisplacedTrack_v2	EXO (long-lived)	yes	CMSHLT-318	L1_TripleJet_92_76_64 OR L1_HTT175		   1										0	0	0	0	0	0	0		0	0	0	0	0	0	0			ms		±		Hz	0	±	0	Hz	group: EXO, menu: 1.4e34, rate: 5 Hz @ 1.4e34, type: Backup, description: VBF + 1 jet with few prompt tracks and 2 displaced tracks with high IP significance
A	DisplacedJet	HLT_VBF_DisplacedJet40_VTightID_Hadronic_v2	EXO (long-lived)	yes	CMSHLT-318	L1_TripleJet_92_76_64 OR L1_HTT175		   1										0	0	0	0	0	0	0		0	0	0	0	0	0	0			ms		±		Hz	0	±	0	Hz	group: EXO, menu: 1.4e33, rate: 3 Hz @ 1.4e34, type: signal, description: VBF + 1 high hadronic fraction, collimated calo jet with pt > 40 with at most 1 prompt track
A	DisplacedJet	HLT_VBF_DisplacedJet40_VVTightID_DisplacedTrack_v2	EXO (long-lived)	yes	CMSHLT-318	L1_TripleJet_92_76_64 OR L1_HTT175		   1										0	0	0	0	0	0	0		0	0	0	0	0	0	0			ms		±		Hz	0	±	0	Hz	group: EXO, menu: 1.4e34, rate: 3 Hz, type: Backup, description: VBF + 1 jet with few prompt tracks and 2 displaced tracks with high IP significance. The IP significance requirement is tight
A	DisplacedJet	HLT_VBF_DisplacedJet40_VVTightID_Hadronic_v2	EXO (long-lived)	yes	CMSHLT-318	L1_TripleJet_92_76_64 OR L1_HTT175		   1										0	0	0	0	0	0	0		0	0	0	0	0	0	0			ms		±		Hz	0	±	0	Hz	group: EXO, menu: 1.4e33, rate: 2 Hz @ 1.4e34, type: backup, description: VBF + 1 high hadronic fraction, collimated calo jet with pt > 40 with at most 1 prompt track
A	DoubleEG	HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelSeedMatch_Mass70_v1	HIG	yes	CMSHLT-291, mod CMSHLT-361	L1_SingleEG40 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	0	±	0	Hz	HIG: Control path for H->diphoton analysis. , Lower mass cut and pixel seed requirement to collect Z->ee events.
A	DoubleEG	HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95_v1	HIG	yes	CMSHLT-291, mod CMSHLT-361	L1_SingleEG40 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	0	±	0	Hz	HIG: higgs->diphoton rediscovery trigger. , pT cut at 30/18 to allow for mass window used in analysis. , Total rate 30+-2Hz. , Efficiency: .98 in two most significant categories.
A	DoubleEG	HLT_Diphoton30_18_Solid_R9Id_AND_IsoCaloId_AND_HE_R9Id_Mass55_v1	HIG, SMP	yes	CMSHLT-291, mod CMSHLT-361	L1_SingleEG40 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10		   1										  100 000	  100 000	  100 000	  100 000	  100 000	  100 000	  100 000		0	0	0	0	0	0	0			ms		±		Hz	0	±	0	Hz	low-mass higgs
A	DoubleEG	HLT_Diphoton30EB_18EB_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55_v1	HIG, SMP	yes	CMSHLT-291, mod CMSHLT-361	L1_SingleEG40 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	0	±	0	Hz	low-mass higgs , Main signal path
A	DoubleEG	HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55_v1	HIG, SMP	yes	CMSHLT-291, mod CMSHLT-361	L1_SingleEG40 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	0	±	0	Hz	low-mass higgs , SMP: primary, can be used by low-mass
A	DoubleEG	HLT_DoubleEle24_22_eta2p1_WPLoose_Gsf_v1	TAU, HIG	yes	CMSHLT-160, mod. CMSHLT-232, CMSHLT-330	L1_DoubleEG_22_10		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   0.5	±	   0.0	Hz	group: TAU, HIG, rate: 4Hz at 1.4e34, in shadow of unprescaled Ele17_Ele8_Gsf path, type: monitor, description: DoubleElectron trigger with electrons identical as in e-leg of e+tau trigger. To be used for T&P measurement of e-leg efficiency with Z->ee events
A	DoubleEG	HLT_DoubleEle33_CaloIdL_GsfTrkIdVL_MW_v2	EXO,B2G	yes	CMSHLT-88, updated by CMSHLT-149	L1_SingleEG40 OR L1_SingleEG35 OR L1_SingleEG30 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_SingleJet200		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   2.8	±	   0.1	Hz	group: EXO, rate: 8.2+/- 0.4Hz at 13 TeV PU40bx25 MC (1.4E34), type: signal, approval: https://indico.cern.ch/event/338306/contribution/21/material/slides/0.pdf, description: base unisolated EXO trigger, main driver is Z'->ee analysis but generally used in EXO
A	DoubleEG	HLT_DoubleEle33_CaloIdL_GsfTrkIdVL_v2	EXO	yes	CMSHLT-63, updated by CMSHLT-71 and CMSHLT-149	L1_SingleEG40 OR L1_SingleEG35 OR L1_SingleEG30 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_SingleJet200		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   5.7	±	   0.2	Hz	
A	DoubleEG	HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT300_v2	SUSY	yes	CMSHLT-167, mod. CMSHLT-293	L1_DoubleEG6_HTT150 OR L1_HTT175		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   2.3	±	   0.5	Hz	SUSY PAG, signal trigger for discovery analysis
A	DoubleEG	HLT_DoublePhoton85_v2	EXO	yes	CMSHLT-88	L1_SingleEG35 OR L1_SingleEG40 OR L1_SingleJet200		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   0.9	±	   0.0	Hz	group: Egamma, EXO, rate: 3Hz at 1.4E34, type: signal, approval: https://indico.cern.ch/event/338306/contribution/21/material/slides/0.pdf, description: general purpose high mass diphoton trigger
