Path	Group	QCDPt15to30	QCDPt30to50	QCDPt50to80	QCDPt80to120	QCDPt120to170	QCDPt170to300	QCDPt300to470	QCDPt470to600	QCDPt600to800	DYToEE	DYToMuMu	WToENu	WToMuNu	QCDPt30to80EMEnriched	QCDPt80to170EMEnriched	QCDPt30to50MuEnrichedPt5PionKaonDecay	QCDPt50to80MuEnrichedPt5PionKaonDecay	QCDPt80to120MuEnrichedPt5PionKaonDecay	
L1_SingleMu20er	L1	0	12	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	
L1_ETT15	Masked	0	37	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	
L1_ETM30	L1	0	65	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	
L1_SingleJet52	L1	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
L1_HTT200	L1	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
L1_ETM40	L1	0	61	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	
L1_DoubleEG6_HTT150	L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L1_DoubleMu_10_Open	L1	0	16	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	
L1_Mu20_EG8	L1	0	12	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	
L1_DoubleTauJet36er	L1	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
L1_SingleMu16er	L1	0	16	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	
L1_ETM60_NotJet52WdPhi2	L1	0	56	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	
L1_SingleMu5	L1	0	29	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	
L1_DoubleEG_20_10_1LegIso	L1	0	54	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	
L1_DoubleEG_15_10	L1	0	54	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	
L1_QuadJetC36_TauJet52	L1	0	30	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	
L1_SingleIsoEG25er	L1	0	69	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	
L1_SingleEG15	L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L1_SingleJet240	L1	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
L1_DoubleJetC120	L1	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
L1_SingleJet128	L1	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
L1_DoubleEG_22_10	L1	0	54	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	
L1_SingleEG2	L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L1_SingleJet92	L1	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
L1_Mu3_JetC52_WdEtaPhi2	L1	0	37	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	
L1_ETT40	Masked	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L1_SingleEG35er	L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L1_SingleJetC20_NotBptxOR	L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L1_Mu20_EG10	L1	0	12	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	
L1_MinimumBiasHF1_AND	Masked	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L1_DoubleJetC32_WdPhi7_HTT125	L1	0	52	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	
L1_SingleEG10	L1	0	69	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	
L1_Mu6_DoubleEG10	L1	0	21	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	
L1_DoubleJetC60_ETM60	L1	0	56	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	
L1_TripleJet_92_76_64	L1	0	42	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	
L1_SingleJet176	L1	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
