Path	Group	QCDPt15to30	QCDPt30to50	QCDPt50to80	QCDPt80to120	QCDPt120to170	QCDPt170to300	QCDPt300to470	QCDPt470to600	QCDPt600to800	DYToEE	DYToMuMu	WToENu	WToMuNu	QCDPt30to80EMEnriched	QCDPt80to170EMEnriched	QCDPt30to50MuEnrichedPt5PionKaonDecay	QCDPt50to80MuEnrichedPt5PionKaonDecay	QCDPt80to120MuEnrichedPt5PionKaonDecay	
HLT_JetE50_NoBPTX3BX_NoHalo_v2	EXO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_QuadMuon0_Dimuon0_Jpsi_v1	BPH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Ele15_PFHT300_v2	SUSY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_VBF_DisplacedJet40_TightID_DisplacedTrack_v2	EXO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Photon120_v2	SMP,EXO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_DoubleMu38NoFiltersNoVtx_v1	EXO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2	HIG,TOP,SMP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_BTagMu_Jet300_Mu5_v2	BTV	0	16	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	
HLT_JetE30_NoBPTX_v2	EXO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Ele32_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_v1	TAU,HIG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Mu300_v1	Hotline	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight_v1	HIG	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
HLT_DoubleMu28NoFiltersNoVtxDisplaced_v1	EXO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_HcalUTCA_v1	NoGroup	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
HLT_Ele27_eta2p1_WPTight_Gsf_v1	Egamma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Mu25_TkMu0_dEta18_Onia_v2	BPH,SMP	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
HLT_Ele27_eta2p1_WPLoose_Gsf_HT200_v1	HIG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_AK8PFHT700_TrimR0p1PT0p03Mass50_v2	B2G	0	56	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	
HLT_PFMETNoMu120_NoiseCleaned_PFMHTNoMu120_IDTight_v2	EXO	0	23	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	
